Time [hr], Date, NAE
0,2016/10/1 0:00:00,649.4125
1,2016/10/1 1:00:00,646.1583
2,2016/10/1 2:00:00,644.53
3,2016/10/1 3:00:00,642.5773
4,2016/10/1 4:00:00,642.2533
5,2016/10/1 5:00:00,648.275
6,2016/10/1 6:00:00,720.7025
7,2016/10/1 7:00:00,857.5017
8,2016/10/1 8:00:00,1103.757
9,2016/10/1 9:00:00,1871.36
10,2016/10/1 10:00:00,2436.928
11,2016/10/1 11:00:00,2701.74
12,2016/10/1 12:00:00,2415.363
13,2016/10/1 13:00:00,2102.945
14,2016/10/1 14:00:00,1601.479
15,2016/10/1 15:00:00,928.2233
16,2016/10/1 16:00:00,807.29
17,2016/10/1 17:00:00,713.705
18,2016/10/1 18:00:00,707.1933
19,2016/10/1 19:00:00,706.8518
20,2016/10/1 20:00:00,706.5408
21,2016/10/1 21:00:00,705.6458
22,2016/10/1 22:00:00,705.16
23,2016/10/1 23:00:00,703.855
24,2016/10/2 0:00:00,0
25,2016/10/2 1:00:00,0
26,2016/10/2 2:00:00,0
27,2016/10/2 3:00:00,0
28,2016/10/2 4:00:00,0
29,2016/10/2 5:00:00,0
30,2016/10/2 6:00:00,0
31,2016/10/2 7:00:00,0
32,2016/10/2 8:00:00,0
33,2016/10/2 9:00:00,0
34,2016/10/2 10:00:00,0
35,2016/10/2 11:00:00,0
36,2016/10/2 12:00:00,0
37,2016/10/2 13:00:00,0
38,2016/10/2 14:00:00,0
39,2016/10/2 15:00:00,0
40,2016/10/2 16:00:00,0
41,2016/10/2 17:00:00,0
42,2016/10/2 18:00:00,0
43,2016/10/2 19:00:00,0
44,2016/10/2 20:00:00,0
45,2016/10/2 21:00:00,0
46,2016/10/2 22:00:00,0
47,2016/10/2 23:00:00,0
